end_point,longitude,latitude
P000030638,118.474184,34.993638
P000020962,118.49451,34.974972
P000019833,118.470734,34.984099
P000019008,118.455674,35.026148
P000008511,118.441005,35.016522
P000044828,118.442951,35.017607
P000014420,118.474184,34.993638
P000044880,118.432372,35.039266
P000020807,118.44732,34.956209
P000027572,118.444809,34.949261
P000044914,118.432556,35.032085
P000045042,118.429951,35.052744
P000044774,118.454916,35.040238
P000027115,118.434298,35.053858
P000030121,118.437122,35.056648
P000028405,118.455674,35.026148
P000030366,118.432581,35.042916
P000030318,118.455674,35.026148
P000018499,118.431682,35.027022
P000030638,118.455674,35.026148
P000030447,118.455716,35.036964
P000030308,118.432372,35.039266
P000009422,118.428167,35.05292
P000031448,118.432372,35.039266
P000026203,118.455674,35.026148
P000030631,118.440656,35.018381
P000020613,118.433427,35.051381
P000031071,118.455674,35.026148
P000032117,118.484856,34.975083
P000018555,119.317331,34.723567
P000018362,120.164103,36.054937
P000020875,118.484856,34.975083
P000045021,118.432372,35.039266
P000018938,118.432726,35.045219
P000019967,118.474184,34.993638
P000003157,118.421788,35.117203
P000030155,118.455674,35.026148
P000021110,118.455674,35.026148
P000023413,118.291318,34.935048
P000033462,118.455716,35.036964
P000016492,118.733191,35.533045
P000015184,118.808816,35.19799
P000021053,118.433427,35.051381
P000017946,118.432556,35.032085
P000022536,118.433417,35.051625
P000030662,118.44865,35.017126
P000045198,118.428167,35.05292
P000000756,118.473985,34.998247
P000015740,118.421788,35.117203
P000008540,118.474184,34.993638
P000014378,118.474184,34.993638
PS10001276,118.440656,35.018381
P000000727,119.374416,35.102057
P000047319,119.374416,35.102057
P000029548,118.504079,31.763313
P000018574,117.285951,31.943954
P000030365,117.285951,31.943954
P000030539,118.433151,31.502224
P000028437,118.6101,31.138466
P000018204,120.199577,36.035815
P000029119,118.473985,34.998247
P000018976,120.053269,36.278312
P000001020,120.00604,36.322056
P000019968,118.99521012222225,36.713968322222215
P000019973,121.06446150874996,37.678467854999965
P000020059,118.52281386538462,35.14822558076922
P000020062,119.54873168604648,35.55760120775197
P000020126,119.3505782103603,36.0256011112613
P000022980,119.53537263214288,35.981579075
P000022982,118.2738012869565,35.2268860326087
P000023041,120.1987148276596,36.04448964893617
P000023049,118.99521012222225,36.713968322222215
P000026047,119.51994284166668,35.34417504761905
P000026077,119.35756745294115,35.20025924705882
P000026102,118.2606982636364,37.04077098636365
P000026230,120.01070475806448,35.90074973225808
P000026277,118.52281386538462,35.14822558076922
P000026331,118.81410752575763,35.63160492424244
P000026341,118.43020667333332,35.052086066666675
P000026347,119.08834261838231,35.1299963102941
P000026395,118.22834597888884,34.91827898444444
P000026428,119.96478774567896,36.33374972098769
P000026435,120.35517950000003,36.27837136875
P000026476,118.48619994321002,35.23759857407404
P000026578,120.86803412758636,37.39654465603444
P000026594,119.32952757446824,36.45596565815601
P000026613,119.5090191480768,35.53358693653849
P000026614,118.42692271250006,35.029801618749985
P000026623,120.34625414769222,36.29390288153847
P000026638,116.39336650845068,37.48540555774652
P000026644,119.46708090357158,35.350284026190444
P000026678,119.34954177999995,35.18816180666666
P000026679,119.93310093065313,35.90493757185931
P000026767,118.43020667333332,35.052086066666675
P000026805,119.79482450162598,35.70840468455288
P000026813,119.73869688928566,36.417462203571446
P000026831,119.67799847042244,37.0530174422536
P000026864,118.42660244482762,35.032665141379304
P000026874,120.26570988532843,36.35871795559848
P000026900,118.47198390666662,35.59645960333332
P000026928,118.46993684000002,34.95042029777775
P000026929,119.50239054850736,35.50335355298499
P000026939,119.31701834729706,35.15064888243235
P000027026,120.35048858871836,36.290242913333415
P000027050,119.9880677890173,36.2164344924856
P000027092,118.53705000000006,35.4353110923077
P000027106,119.34599717307694,36.023073451923075
P000027117,118.81038799042548,35.15904587925532
P000027169,119.30580956756758,35.176547221621604
P000027277,119.35756745294115,35.20025924705882
P000027278,118.72956479454542,35.537490194545455
P000027297,116.75117722000002,35.579623240000004
P000027309,118.43476175333332,35.01652882
P000027321,121.21844121034478,37.470228320689664
P000027437,118.71722553636369,35.13061830727278
P000027549,115.99570370350864,35.57521780350877
P000027582,120.14561209514557,35.99617429805822
P000027695,119.351149676389,36.027578223611066
P000027805,118.54860495373146,37.04490337611941
P000027853,120.35431145,36.28987476428572
P000027880,118.42942732857144,35.04934534285716
P000027915,119.50962944761903,35.55121333333333
P000027932,119.39391109836065,36.1048776704918
P000027935,117.04899644666668,36.075500228888885
P000028064,119.39657206301376,35.42762646986301
P000028075,120.0492222829268,36.0344369097561
P000028083,118.44440210851066,35.388616153191485
P000028091,119.92841374615384,36.257071139743566
P000028097,120.32903196810832,36.26870986702698
P000028123,119.29318470707966,35.17968187610618
P000028148,116.14841282727268,36.35875000454546
P000028150,118.42407354262296,35.029759675409856
P000028171,118.43476175333332,35.01652882
P000028255,119.97645173589748,36.027833283974374
P000028258,120.32903196810832,36.26870986702698
P000028288,119.30580956756758,35.176547221621604
P000028313,120.01543923235305,36.20489545
P000028331,119.39657206301376,35.42762646986301
P000028419,119.34599717307694,36.023073451923075
P000028498,119.94978875394725,36.279546594736864
P000028598,116.81134208823532,35.320035813725504
P000028686,117.04981605833336,36.07193661249999
P000028714,119.31701834729706,35.15064888243235
P000028789,118.43020667333332,35.052086066666675
P000028874,120.08068223966278,36.09408453459909
P000028936,120.20698323571436,36.25824466428572
P000028944,118.43020667333332,35.052086066666675
P000028954,117.06261687517257,36.07985580482757
P000028971,120.35048858871836,36.290242913333415
P000029053,118.42692271250006,35.029801618749985
P000029122,119.30580956756758,35.176547221621604
P000029192,119.44942291578946,35.36255685263158
P000029264,121.29604308550728,37.463192976811605
P000029312,118.46837971666665,34.95848659791671
P000029319,119.056915690476,35.16495041156465
P000029349,118.4298351016668,35.12694575500008
P000029379,119.99948202647062,35.90297585294118
P000029413,118.46903670000026,34.993868300000024
P000029439,120.26570988532843,36.35871795559848
P000029450,119.5090191480768,35.53358693653849
P000029470,118.8372066999996,35.630416699999905
P000029514,119.35756745294115,35.20025924705882
P000029523,119.3505782103603,36.0256011112613
P000029616,119.278127175,35.164589792857136
P000029707,119.70603738251752,37.05002366573427
P000029729,118.26170580363636,37.04902349272722
P000029734,121.21844121034478,37.470228320689664
P000029737,118.24965035714284,37.059239282142855
P000029772,120.08382720769228,36.15230195384616
P000029812,119.44942291578946,35.36255685263158
P000029878,118.56462739387742,34.97065199234697
P000029905,116.14841282727268,36.35875000454546
P000029912,118.99521012222225,36.713968322222215
P000029948,118.46903670000026,34.993868300000024
P000029988,120.01070475806448,35.90074973225808
P000030023,120.32903196810832,36.26870986702698
P000030078,118.4365711373738,35.018503589898984
P000030099,117.07862759999996,36.07562963199999
