ep_cluster_ID,list_endpoint,longitude,latitude,list_sp_cluster_ID
0,['P000020962'],118.49451,34.974972,['1679']
1,['P000019833'],118.470734,34.984099,"['4753', '136', '4731', '4730', '4732']"
2,"['P000019008', 'P000028405', 'P000030318', 'P000026203', 'P000031071', 'P000030155', 'P000021110']",118.455674,35.026148,"['3979', '89', '3978', '929', '3980']"
3,"['P000008511', 'P000044828', 'P000030631', 'PS10001276', 'P000027309', 'P000028171', 'P000030078', 'P000030152', 'P000030694']",118.4390872,35.01789128,"['12332', '73', '862', '1969', '1228', '215', '12324']"
4,"['P000014420', 'P000019967', 'P000008540', 'P000014378']",118.474184,34.993638,['20']
5,"['P000044880', 'P000045042', 'P000027115', 'P000030121', 'P000030366', 'P000030308', 'P000009422', 'P000031448', 'P000020613', 'P000045021', 'P000018938', 'P000021053', 'P000022536', 'P000026341', 'P000026767', 'P000027880', 'P000028789', 'P000028944', 'P000030286', 'P000023348', 'P000023153', 'P000014319', 'P000023167', 'P000019629', 'P000013169', 'P000012708', 'P000016530', 'P000016732', 'P000014307', 'P000015256', 'P000019011', 'P000000605', 'P000022513', 'P000014538', 'P000019419', 'P000023726', 'P000019699', 'P000017657', 'P000023926', 'P000016395', 'P000003483', 'P000020821', 'P000024372', 'P000021102', 'P000013790', 'P000003199', 'P000004493', 'P000013865', 'P000010628', 'P000027011', 'PS10001079', 'P000027071', 'P000029378', 'P000029895', 'P000029188', 'P000029969', 'P000030494', 'P000001132', 'P000035537', 'P000035532', 'P000036538', 'P000036886', 'P000016914', 'P000045009', 'P000007570', 'P000004354', 'P000045200', 'P000022287', 'P000022345', 'P000044787', 'P000023055', 'P000013085', 'P000020392', 'P000045055', 'P000044498', 'P000034884', 'P000022230', 'P000023214', 'P000022921', 'P000018626', 'P000026000', 'P000018326', 'P000016590', 'P000044676', 'P000035290', 'P000045165', 'P000019903']",118.4284241,35.04695056,"['13747', '12230', '124', '5692', '218', '1882', '10806', '9310', '97', '1591', '4662', '5900', '7487', '377', '5693', '1945', '288', '103', '3841', '5901', '13527', '234', '129', '1869', '5881', '7945', '524', '1058', '4671', '481', '1886', '75', '7518', '10807', '13010', '6081', '4659', '13458', '7498', '5694', '840', '4661', '13530', '1901', '931', '2064', '13457']"
6,['P000020807'],118.44732,34.956209,"['7532', '426', '7534']"
7,['P000027572'],118.444809,34.949261,"['11999', '12002', '1620', '12003', '12006', '12000']"
8,"['P000044914', 'P000017946']",118.432556,35.032085,"['899', '6656', '6655', '6654', '4040']"
9,"['P000044774', 'P000030447', 'P000033462']",118.4554493,35.03805533,"['1030', '3846', '1230', '1250', '13740', '3843', '3844', '72']"
10,['P000018499'],118.431682,35.027022,"['2977', '2971', '2999', '71', '10', '2990']"
