label,AVG_duration,Median_duration,Stay_frequency,Hotspot_longitude,Hotspot_latitude,停留时长比例大于70%,停留时段比例大于70%
0,143.64566929133858,66.0,254.0,119.15113170249532,35.5052812665472,0.0,0.0
1,36.4416,26.0,625.0,118.72926963944965,35.537250731215856,0.0,0.0
2,59.10872162485066,31.0,837.0,119.40804361626066,35.3471143564977,0.0,0.0
3,82.55454545454545,30.5,110.0,119.49775719907637,35.4429106168538,0.0,0.0
4,47.652849740932645,35.0,193.0,119.5456780942857,35.44909319692797,0.0,0.0
5,59.675392670157066,30.0,382.0,119.07192184734787,36.36615306471227,0.0,0.0
6,60.993355481727576,17.0,602.0,118.61937150931233,35.236274572735844,0.0,0.0
7,151.18297644979657,32.0,24331.0,119.31759628323353,35.15061119658776,0.0,0.0
8,52.58568164508758,33.0,2626.0,119.36290106253456,35.096770877359184,0.0,0.0
9,57.263636363636365,33.0,110.0,119.42718854275527,35.38390278719146,0.0,0.0
10,44.98639455782313,19.0,1617.0,118.42601992424905,35.027826906180415,0.0,0.0
11,46.76086956521739,16.0,184.0,119.2214599234336,35.88183395616833,0.0,0.0
12,111.63786008230453,36.0,243.0,119.21786094893615,35.943101632732414,0.0,0.0
13,158.92307692307693,95.0,13.0,119.20461852007632,36.19979225788098,1.0,0.0
14,31.833333333333332,27.0,6.0,118.27555924177481,37.06832135121604,0.0,0.0
15,54.48768472906404,32.0,203.0,119.34942622287996,35.2126964272222,0.0,0.0
16,57.088235294117645,38.0,1938.0,119.45005490370261,35.36250441136971,0.0,0.0
17,181.89247311827958,76.0,186.0,120.05422302867353,36.278639786987505,0.0,0.0
18,68.509009009009,28.0,222.0,120.12169749760726,36.09331091226211,0.0,0.0
19,173.14285714285714,31.0,14.0,118.48011909668195,35.07211211341932,0.0,0.0
20,70.88973063973064,40.0,1188.0,118.46942346177096,34.99416006603948,0.0,0.0
21,50.046783625730995,24.0,342.0,119.35931227958794,35.199095806350726,0.0,0.0
22,248.55555555555554,68.0,99.0,119.35843874453215,35.23762133802251,0.0,0.0
23,176.31578947368422,220.0,19.0,119.22871089932823,35.53465534878139,1.0,0.0
24,71.11111111111111,23.5,18.0,119.34237543378146,36.017069672119305,0.0,0.0
25,92.67617107942974,45.0,491.0,119.35046803665078,36.025522574613575,0.0,0.0
26,22.2,17.0,10.0,119.36104787230583,35.994635678230885,0.0,0.0
27,60.850746268656714,35.0,67.0,119.35101175162889,35.19447095351319,0.0,0.0
28,57.275862068965516,43.0,29.0,119.4798478827147,35.478182920332046,0.0,0.0
29,61.72857142857143,49.0,210.0,118.43666497324548,35.105790776064005,0.0,0.0
30,70.80281690140845,49.0,781.0,119.17556123886224,35.11380624226171,1.0,0.0
31,152.18483412322274,27.0,422.0,119.32116502121606,35.17153506397672,0.0,0.0
32,230.7,232.0,10.0,118.82385311264218,35.214932033038686,1.0,0.0
33,169.7906976744186,81.0,43.0,117.05160935154744,36.0792906103814,1.0,0.0
34,45.402654867256636,41.5,226.0,119.73458141306864,35.63258378939541,0.0,0.0
35,247.02675760755508,43.0,1906.0,119.357729774073,35.23177210222235,0.0,0.0
36,180.30769230769232,142.0,13.0,119.40993244029383,35.344048109290945,1.0,0.0
37,108.58412698412698,33.0,945.0,119.31825490718852,35.15698748818822,0.0,0.0
38,479.2142857142857,353.5,28.0,118.48062998212758,35.07387357504255,1.0,0.0
39,49.370370370370374,25.0,27.0,117.8536912386229,35.80779658451321,0.0,0.0
40,485.6,444.5,30.0,119.34613986662006,35.243936951468775,1.0,0.0
41,35.8,37.0,35.0,120.11910879231793,35.930416873663646,0.0,0.0
42,31.143939393939394,24.0,264.0,119.38210722702016,35.215276504325566,0.0,0.0
43,196.8293650793651,76.5,252.0,120.01037624099064,35.901355481943455,0.0,0.0
44,456.72727272727275,533.0,11.0,118.45973139938768,34.99864128597812,1.0,0.0
45,73.6010101010101,42.5,198.0,118.44797050425305,34.99729981000984,0.0,0.0
46,79.67051070840198,46.0,607.0,118.44525767331348,35.16588947044867,0.0,0.0
47,206.44444444444446,232.0,9.0,118.98913745697365,35.21645891705327,1.0,0.0
48,62.99166666666667,45.0,120.0,118.73286100785462,34.92150949630003,0.0,0.0
49,20.90909090909091,13.0,88.0,119.31206322489271,35.175296625063666,0.0,0.0
50,83.70184254606365,32.0,597.0,118.83275261852349,35.215099052611905,0.0,0.0
51,348.0,203.0,7.0,117.82459039345835,35.80933979004973,1.0,0.0
52,14.0,13.0,5.0,117.0848940894779,36.08833437882379,0.0,1.0
53,107.15028901734104,26.0,173.0,117.04934792067053,36.0757317166399,0.0,0.0
54,55.25,36.0,156.0,119.961275071775,35.85453093140764,0.0,0.0
55,108.23170731707317,30.0,82.0,120.14593414672322,36.06678420044614,0.0,0.0
56,62.970238095238095,17.0,504.0,119.56350403838509,35.569331521928106,0.0,0.0
57,22.475,19.0,160.0,119.91261118652797,35.79899220406647,0.0,0.0
58,45.461176470588235,42.0,425.0,119.79469166462682,35.708311515290596,0.0,0.0
59,89.18715083798882,28.0,358.0,119.31088468030721,35.156449647734405,0.0,0.0
60,18.61904761904762,16.0,21.0,118.72388588466715,35.225423252395736,0.0,0.0
61,25.396396396396398,25.0,111.0,118.92864192212521,35.16009174886995,0.0,0.0
62,68.3411214953271,28.0,214.0,118.65097398611279,35.1224112720014,0.0,0.0
63,48.24761904761905,47.5,210.0,119.72459252674273,35.66414357099628,0.0,0.0
64,39.76923076923077,27.5,26.0,118.15308461798857,35.54897681454398,0.0,0.0
65,104.58064516129032,21.0,31.0,117.86536872153809,35.79284482113317,0.0,0.0
66,143.80701754385964,64.5,570.0,117.06831942376544,36.079645328672065,0.0,0.0
67,104.51210762331839,42.0,3345.0,119.36649356304939,35.1090737080421,0.0,0.0
68,47.25311203319502,44.0,241.0,119.91407107929975,35.794205004894394,0.0,0.0
69,159.58648648648648,62.0,370.0,119.34878975321847,35.23169341679936,0.0,0.0
70,787.4893617021277,767.0,47.0,119.1453032999998,35.245200000000075,1.0,0.0
71,53.833333333333336,28.5,90.0,118.42799082313702,35.030294761597325,0.0,0.0
72,33.826530612244895,19.0,1176.0,118.44859866834584,35.04092578257326,0.0,0.0
73,55.59494773519164,31.0,1148.0,118.4364502996129,35.01877565642302,0.0,0.0
74,18.60156862745098,16.0,1275.0,118.60682875140392,35.12103469984712,0.0,0.0
75,67.10897435897436,33.0,468.0,118.42978983098051,35.04911302536649,0.0,0.0
76,128.68627450980392,119.0,51.0,119.34382248522036,35.199228666842004,1.0,0.0
77,52.35233160621762,56.0,386.0,119.37352510671121,35.337099919813554,0.0,0.0
78,107.46458923512748,36.0,353.0,119.26373001874799,35.17208590607569,0.0,0.0
79,14.423076923076923,12.5,26.0,119.282466418342,35.078192396539414,0.0,0.0
80,197.0,127.0,9.0,119.30323407158556,35.177656342531385,0.0,0.0
81,244.7037037037037,186.0,27.0,120.70379687935295,36.92323813912745,1.0,0.0
82,19.13953488372093,16.0,43.0,119.69237880992418,35.63565610718374,0.0,0.0
83,602.3451327433628,534.0,113.0,119.4016360764643,35.3414494680972,1.0,0.0
84,98.14285714285714,16.0,7.0,119.40483838908823,35.341810488743015,0.0,0.0
85,40.21176470588235,24.0,510.0,119.34650532280483,35.197662268706225,0.0,0.0
86,47.59419642857143,28.0,2240.0,119.51040446119394,35.55088012834745,0.0,0.0
